sujeto ,time ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1,"0,125","10,675007","3,862593","2,120309","0,64216","0,347666","5,742612","1,164133","0,951039","0,515172","0,27645","14,212769","47,559895","1,281197","0,905173","0,275569","10,280181","5,421309","1,610148","0,533999","0,561355","10,283914","3,466052","1,952245","0,695474","0,449415"
1,"0,25","11,230866","3,542146","2,511663","0,64982","0,360106","6,460536","1,112859","0,963707","0,499849","0,298115","14,004786","45,295464","1,570006","0,918119","0,269054","11,913688","5,608889","1,551622","0,438844","0,562009","10,825012","3,40416","2,139727","0,726822","0,444121"
1,"0,375","11,215634","3,825485","2,931449","0,654005","0,367603","6,560062","1,244238","0,917977","0,468428","0,318831","14,48766","41,923283","1,902012","0,880091","0,277413","12,743605","6,462988","1,486457","0,404099","0,570385","10,843996","3,90848","2,480864","0,759847","0,435697"
1,"0,5","10,508354","4,609345","3,368333","0,645567","0,364482","5,962836","1,535847","0,836792","0,432071","0,331232","15,57715","38,333569","2,340556","0,830222","0,293546","12,63207","7,897036","1,401128","0,397772","0,588391","10,30112","5,0066","2,947703","0,776881","0,421442"
1,"0,625","9,608546","5,682717","3,716629","0,618571","0,350705","4,877295","1,899366","0,761389","0,401424","0,332602","17,072134","35,043167","2,918278","0,829146","0,310794","11,777649","9,52422","1,296324","0,405975","0,607577","9,427797","6,527431","3,378774","0,766057","0,400111"
1,"0,75","9,061995","6,742688","3,847388","0,577229","0,334876","3,687987","2,207389","0,733227","0,379819","0,325219","18,606314","32,216736","3,546478","0,9289","0,329239","10,548493","10,771936","1,176579","0,428228","0,615464","8,703761","8,112364","3,580205","0,723763","0,373578"
1,"0,875","9,256477","7,528618","3,724957","0,540212","0,333477","2,775005","2,366514","0,771088","0,36431","0,315191","19,684696","29,878199","4,053346","1,14241","0,357636","9,307509","11,190561","1,039761","0,466377","0,604152","8,504539","9,353119","3,467487","0,659273","0,349944"
1,1,"10,198129","7,869044","3,376161","0,545366","0,359269","2,336765","2,31772","0,853261","0,352069","0,308294","20,041208","27,955227","4,260591","1,427462","0,403048","8,354866","10,699012","0,873079","0,516107","0,573045","8,993427","9,931775","3,062021","0,595496","0,33891"
1,"1,125","11,686856","7,737946","2,891781","0,64263","0,412085","2,324095","2,068646","0,930516","0,349446","0,307536","19,55846","26,521029","4,096518","1,688762","0,46299","7,722568","9,539663","0,684424","0,567376","0,530273","10,005305","9,75581","2,48538","0,564467","0,345577"
1,"1,25","13,581936","7,365058","2,424857","0,863061","0,477563","2,528643","1,753115","0,978663","0,369852","0,314576","18,303066","26,103464","3,781897","1,831161","0,52254","7,307429","8,358226","0,540191","0,610004","0,488515","11,311665","9,113946","1,935303","0,595432","0,368012"
