sujeto ,tiempo,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1,"0,125","7,281064","17,572968","2,097263","0,807676","0,281637","3,783559","4,460472","0,879507","0,488411","0,186581","8,030518","20,112427","3,147428","0,832672","0,437011","6,515743","9,257495","2,734775","1,158384","0,331132","9,793077","20,044432","1,680192","0,855799","0,291912"
1,"0,25","8,096985","18,996149","1,93105","0,741364","0,272565","4,382096","4,358698","1,085651","0,495443","0,211259","11,01018","20,620155","3,301023","1,012147","0,457366","7,165044","9,998035","2,83572","1,146848","0,363741","9,871323","20,475107","1,855156","0,851701","0,290694"
1,"0,375","8,816719","19,804417","1,973657","0,691283","0,277075","4,761055","4,144785","1,290689","0,476252","0,233934","14,769246","19,794899","3,603231","1,223175","0,471688","7,460077","10,138455","2,95817","1,078998","0,409696","9,457873","20,509014","2,172386","0,817949","0,302427"
1,"0,5","9,213319","19,33046","2,206823","0,663243","0,295976","4,756994","3,803426","1,432827","0,437326","0,25267","18,31053","17,875715","4,041274","1,413197","0,482579","7,299968","9,511024","3,094088","0,974499","0,462705","8,569517","19,524839","2,544067","0,760871","0,33011"
1,"0,625","9,069056","17,338383","2,490469","0,660676","0,321991","4,316251","3,354032","1,453703","0,395831","0,271032","20,590057","15,570926","4,497249","1,537419","0,492319","6,71921","8,237804","3,191231","0,896904","0,516213","7,321311","17,243324","2,818055","0,69805","0,369211"
1,"0,75","8,293756","14,084706","2,62373","0,680621","0,342144","3,540189","2,811251","1,335979","0,370275","0,294848","21,004992","13,541884","4,839367","1,564648","0,499323","5,860548","6,624392","3,18663","0,910416","0,563587","5,889952","13,87661","2,846607","0,655295","0,408941"
1,"0,875","7,037519","10,276574","2,473974","0,708824","0,346771","2,654866","2,229832","1,102313","0,370382","0,326564","19,60498","12,127682","4,92073","1,483277","0,499834","4,970733","5,08683","3,052535","1,033784","0,602461","4,589159","10,137665","2,556666","0,651963","0,43759"
1,1,"5,667899","6,74917","2,079817","0,726828","0,335348","1,91468","1,689596","0,830413","0,389012","0,361202","17,037506","11,304795","4,762454","1,343329","0,492348","4,243927","3,900594","2,861962","1,231535","0,632382","3,739637","6,867057","2,051884","0,686374","0,447101"
1,"1,125","4,640574","4,216778","1,618462","0,721156","0,31533","1,503955","1,303504","0,61206","0,410061","0,388145","14,240622","10,846679","4,465127","1,239879","0,478007","3,800913","3,159597","2,699801","1,43926","0,650005","3,541317","4,729894","1,549482","0,737866","0,436789"
1,"1,25","4,314964","2,988681","1,267197","0,688308","0,296952","1,475676","1,133595","0,495212","0,420375","0,396582","12,04376","10,531945","4,142603","1,259019","0,459916","3,678821","2,792385","2,581753","1,602608","0,651137","4,08708","3,935922","1,249372","0,779823","0,414655"
