sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"0,125","7,729568","6,824141","1,989931","0,520857","0,614196","1,680599","0,885381","0,707364","0,385393","0,728005","20,167778","10,928244","1,449088","0,850811","0,700191","4,16419","3,196523","0,609526","0,63747","1,078774","7,442092","10,920558","4,057549","0,459461","0,68058"
1,"0,25","7,163868","7,052732","2,36739","0,484259","0,744361","1,714026","1,143174","0,711552","0,409444","0,84225","15,066019","9,390227","1,432093","0,920908","0,82732","4,674507","3,596534","0,689606","0,596453","1,248528","7,244266","12,287622","4,661026","0,430039","0,81936"
1,"0,375","7,496858","7,663575","2,577178","0,442458","0,829912","1,634454","1,459579","0,693939","0,423079","0,891244","11,546824","9,068118","1,363441","0,972971","0,889981","5,340142","4,147945","0,84202","0,635844","1,316954","7,106246","13,627838","4,819989","0,395723","0,899038"
1,"0,5","8,871545","8,200015","2,551476","0,399613","0,844416","1,43912","1,756327","0,634756","0,427306","0,856532","9,956588","9,730515","1,234906","0,985109","0,86757","6,102466","4,740321","0,979163","0,704806","1,259987","7,422899","14,469505","4,480049","0,359996","0,89527"
1,"0,625","11,164757","8,298895","2,326176","0,367051","0,784954","1,186604","1,979794","0,535052","0,428711","0,749985","9,934247","10,896574","1,112959","0,957524","0,768378","6,859958","5,254221","1,013018","0,768133","1,097255","8,496238","14,443419","3,78248","0,336398","0,810814"
1,"0,75","14,006742","7,823171","2,007316","0,35894","0,674417","1,029566","2,087858","0,41386","0,435848","0,606995","10,587095","11,826233","1,068125","0,904426","0,625469","7,511689","5,599685","0,929148","0,818548","0,883555","10,427691","13,433555","2,965347","0,34283","0,67447"
1,"0,875","16,75561","6,841556","1,701584","0,380263","0,549064","1,026224","2,066532","0,303884","0,456266","0,469505","10,981001","12,025806","1,112735","0,842007","0,48019","7,792771","5,736815","0,762953","0,859695","0,680435","12,86552","11,656918","2,246848","0,389449","0,527032"
1,1,"18,901905","5,748701","1,450005","0,432227","0,441233","1,188234","1,957695","0,228196","0,489853","0,367675","10,752833","11,433295","1,243356","0,787","0,365786","7,53203","5,699135","0,598578","0,903727","0,5296","15,186461","9,705735","1,709044","0,479728","0,40316"
1,"1,125","19,982063","5,155313","1,248588","0,510542","0,367066","1,479281","1,858927","0,188803","0,530212","0,310172","9,845293","10,265825","1,473916","0,750392","0,2957","6,804726","5,568409","0,545483","0,964181","0,442597","16,938061","8,514074","1,329747","0,605445","0,318691"
1,"1,25","19,838341","5,639227","1,084193","0,605452","0,325635","1,823203","1,877457","0,174772","0,56733","0,287282","8,481786","8,914408","1,798184","0,740226","0,264197","5,835292","5,551658","0,720005","1,043458","0,40661","17,59461","9,048037","1,096306","0,746629","0,270681"
1,"1,375","18,463045","7,393439","0,999794","0,708193","0,305655","2,17219","2,0656","0,179982","0,594799","0,284436","7,003635","7,695493","2,153272","0,765815","0,255901","4,986479","5,852464","1,179587","1,133554","0,401395","17,008333","11,64202","1,089401","0,877097","0,246379"
1,"1,5","16,013624","10,008811","1,045856","0,812936","0,296606","2,472961","2,388595","0,207112","0,614383","0,291647","5,732616","6,773281","2,462909","0,839596","0,257385","4,490177","6,522646","1,869553","1,22007","0,410872","15,320395","15,602261","1,355991","0,970657","0,233966"
1,"1,625","13,064644","12,620338","1,201521","0,91455","0,29392","2,679313","2,740976","0,260901","0,631124","0,303196","4,956842","6,122248","2,695062","0,963893","0,259954","4,330317","7,389622","2,604146","1,286014","0,425568","12,975916","19,503248","1,809585","1,015261","0,227563"
1,"1,75","10,458834","14,36737","1,405471","1,003297","0,297041","2,756341","3,016855","0,34524","0,6476","0,314398","4,613578","5,568626","2,850188","1,119539","0,257003","4,292637","8,162832","3,159526","1,313419","0,43829","10,821632","21,965355","2,289353","1,015972","0,227421"
