sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"0,125","4,159704","8,578781","1,744449","0,912233","0,432473","1,728431","2,540107","1,535985","0,605861","0,536805","4,844468","27,91934","0,720517","0,985307","0,439343","1,841021","7,14851","1,274675","0,688039","0,581716","5,330719","8,307371","1,7353","1,138602","0,315143"
1,"0,25","4,054181","8,586593","1,772732","0,910918","0,460823","2,10389","2,428873","1,299317","0,512711","0,520275","4,278632","26,582478","0,760478","1,105791","0,406588","2,288765","8,150522","1,713506","0,675657","0,525169","4,552178","8,678637","1,661797","1,230076","0,303612"
1,"0,375","4,09339","8,82285","1,856813","0,915388","0,489323","2,716119","2,657395","1,054842","0,453663","0,522468","4,417839","27,056238","0,962913","1,258743","0,383164","3,055555","9,13078","2,198484","0,666622","0,481387","4,108304","9,034243","1,662846","1,3048","0,326028"
1,"0,5","4,434668","8,936266","1,991242","0,919828","0,519847","3,446659","3,028949","0,908919","0,420186","0,544685","5,302796","28,63825","1,300324","1,415525","0,372366","4,04846","9,681396","2,581975","0,654738","0,467999","4,2595","9,049229","1,758739","1,332636","0,389459"
1,"0,625","4,937274","8,598489","2,157688","0,916472","0,554102","4,055141","3,258702","0,933366","0,39174","0,580796","6,892897","30,47908","1,649337","1,525572","0,376157","5,0273","9,576801","2,760857","0,633772","0,495156","4,84317","8,542038","1,941739","1,292763","0,488572"
1,"0,75","5,387989","7,788693","2,346884","0,910071","0,59248","4,312519","3,184416","1,13056","0,353681","0,619064","8,74303","31,933186","1,87286","1,549901","0,394703","5,701739","8,84523","2,719614","0,609649","0,558373","5,483125","7,615451","2,183632","1,188778","0,605927"
1,"0,875","5,566138","6,796784","2,527274","0,91643","0,633179","4,184162","2,85142","1,41607","0,307051","0,645045","10,171508","32,612129","1,889131","1,481919","0,423675","5,870132","7,775752","2,574545","0,599156","0,636306","5,717549","6,611791","2,435367","1,055658","0,715769"
1,1,"5,43368","5,964809","2,685846","0,941843","0,675136","3,746746","2,39007","1,676593","0,262468","0,648212","10,732746","32,382618","1,707417","1,350167","0,453996","5,537171","6,673694","2,455651","0,606203","0,698329","5,344464","5,858742","2,659337","0,928408","0,791646"
1,"1,125","5,099019","5,470923","2,833537","0,97227","0,723645","3,167193","1,94171","1,819174","0,229555","0,632102","10,340158","31,294514","1,392579","1,206308","0,475597","4,837924","5,727188","2,420723","0,625947","0,719547","4,559228","5,501054","2,856173","0,824428","0,821889"
1,"1,25","4,738925","5,337834","2,950653","0,977399","0,786121","2,648467","1,6083","1,805975","0,213036","0,616266","9,112502","29,347546","1,05837","1,087981","0,481993","4,0281","4,991868","2,451241","0,649621","0,693667","3,726833","5,553144","3,000567","0,746481","0,816128"
