sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"0,125","7,01013","2,423946","2,531904","0,886335","0,848818","2,247849","1,620944","0,793454","0,655992","0,541007","2,500423","3,51579","3,105075","0,439479","0,33688","2,967442","3,433818","2,425761","1,765881","1,861928","5,512999","3,530233","2,796697","1,10356","1,038268"
1,"0,25","8,205113","2,41726","2,524013","1,025562","0,911122","2,470927","1,579769","1,05381","0,68251","0,557412","2,721351","3,966518","3,24797","0,40552","0,292983","3,06992","3,527762","2,654697","1,854744","1,97267","6,924094","3,388561","2,893673","1,298752","1,075026"
1,"0,375","9,141814","2,331858","2,289769","1,158771","0,933068","2,586524","1,564702","1,289663","0,695936","0,555529","2,867424","4,299841","3,234745","0,377634","0,254134","3,096082","3,640646","2,735105","1,980854","2,050053","7,981028","3,136768","2,77212","1,516972","1,058483"
1,"0,5","9,583474","2,19951","1,903656","1,216479","0,910292","2,56239","1,496473","1,439003","0,674553","0,535968","2,922781","4,404181","3,063143","0,345441","0,228981","3,016751","3,729423","2,670598","2,088284","2,067993","8,473495","2,890152","2,491381","1,675744","1,007531"
1,"0,625","9,47799","2,132628","1,464381","1,158483","0,85169","2,395796","1,334428","1,475926","0,612214","0,508403","2,898907","4,218295","2,747916","0,311728","0,219981","2,86124","3,803086","2,527798","2,151885","2,032048","8,448539","2,81509","2,13327","1,707813","0,955935"
1,"0,75","8,962499","2,25913","1,064928","0,993579","0,776889","2,197785","1,097062","1,411012","0,52097","0,484677","2,831096","3,78119","2,323922","0,288429","0,223188","2,707415","3,895654","2,377605","2,173761","1,96593","8,124477","3,0509","1,790555","1,594901","0,934026"
1,"0,875","8,30295","2,674489","0,786046","0,776676","0,710103","2,101243","0,859716","1,279274","0,42468","0,472145","2,756073","3,223942","1,866163","0,287091","0,231329","2,690099","4,040887","2,257906","2,171896","1,89658","7,811975","3,656395","1,557579","1,373398","0,949932"
1,1,"7,768046","3,369381","0,671025","0,577338","0,671951","2,185262","0,701947","1,120481","0,346001","0,470671","2,693559","2,660039","1,47857","0,309627","0,23764","2,923331","4,199714","2,166098","2,16285","1,845893","7,684101","4,542041","1,49322","1,108569","0,988866"
1,"1,125","7,56545","4,269976","0,737485","0,447939","0,673273","2,402937","0,674811","0,979252","0,301358","0,472871","2,679395","2,136867","1,232815","0,344825","0,239587","3,446469","4,290937","2,072873","2,150394","1,82614","7,756568","5,546666","1,612034","0,874474","1,023612"
1,"1,25","7,714302","5,246368","0,946598","0,405643","0,7148","2,614725","0,789017","0,879966","0,295228","0,469593","2,778273","1,672386","1,123399","0,379388","0,238568","4,194008","4,240939","1,93085","2,132808","1,833823","7,972115","6,482337","1,85843","0,716406","1,033679"
1,"1,375","8,163079","6,166196","1,222232","0,437904","0,784432","2,682864","1,020342","0,83066","0,318533","0,45547","3,056775","1,329033","1,123199","0,4096","0,237488","4,974224","4,028084","1,760806","2,109493","1,860336","8,330375","7,227429","2,142438","0,647432","1,014111"
1,"1,5","8,715966","6,845399","1,483375","0,514454","0,861327","2,529169","1,303497","0,827211","0,355045","0,429498","3,48202","1,173672","1,197908","0,442762","0,239272","5,53599","3,672446","1,635487","2,102808","1,901347","8,800581","7,636235","2,357346","0,660576","0,972936"
1,"1,625","8,96784","7,111011","1,666041","0,605431","0,921351","2,158639","1,564288","0,887019","0,390722","0,396382","3,924081","1,241253","1,298281","0,488281","0,245385","5,665159","3,214517","1,642016","2,1284","1,952669","9,151897","7,577488","2,417531","0,735798","0,922067"
1,"1,75","8,71325","6,893072","1,732544","0,685284","0,947016","1,683037","1,729219","1,040851","0,425796","0,364272","4,22175","1,521414","1,386128","0,560245","0,256374","5,304554","2,763989","1,838532","2,192981","2,01341","9,104835","7,026601","2,274761","0,850687","0,871777"
1,"1,875","8,03614","6,265826","1,69502","0,734466","0,93395","1,266062","1,775297","1,314873","0,473662","0,339662","4,226781","1,937418","1,45835","0,66958","0,272043","4,587881","2,411706","2,195998","2,300756","2,079876","8,564412","6,052494","1,95306","0,986143","0,827229"
1,2,"7,340231","5,496985","1,618504","0,748654","0,889191","1,090956","1,762582","1,688117","0,546995","0,324282","3,952306","2,392505","1,546106","0,816004","0,290708","3,836308","2,225901","2,590529","2,432602","2,143417","7,88591","4,927659","1,556831","1,128539","0,784941"
