sujeto ,tiempo ,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"0,125","11,452655","13,988214","2,198404","0,615664","0,473164","1,988658","2,448518","0,859641","0,32319","0,237708","5,935171","11,362053","0,408022","0,688907","0,371489","5,587362","3,446001","3,448428","0,794863","0,35129","8,705198","14,76687","2,582594","0,857188","0,321368"
1,"0,25","9,120833","12,6141","2,384436","0,583277","0,491028","2,219667","2,315101","0,82878","0,342244","0,224954","8,124552","11,008242","0,585074","0,640172","0,399398","6,46838","3,282648","3,828913","0,885489","0,386563","7,775654","13,287256","2,490007","1,032092","0,345194"
1,"0,375","6,858656","11,961234","2,460128","0,579895","0,504263","2,45046","2,157581","0,763949","0,345805","0,210653","10,654446","10,914666","0,942969","0,62323","0,419951","7,144758","3,330611","3,970209","0,987157","0,420332","6,559531","12,539144","2,237739","1,164764","0,367698"
1,"0,5","5,459354","11,88015","2,341306","0,607534","0,508149","2,615868","1,933791","0,661106","0,333846","0,195019","13,295436","10,848062","1,439344","0,636854","0,426314","7,638524","3,422038","3,852029","1,067958","0,440525","5,425307","12,486248","1,874235","1,223672","0,388479"
1,"0,625","5,351301","12,007308","2,05723","0,671649","0,498697","2,715916","1,649104","0,54007","0,31439","0,178954","15,665824","10,5833","1,998291","0,67681","0,41564","8,222001","3,490022","3,644727","1,109468","0,444671","4,95333","12,739391","1,509281","1,215088","0,404991"
1,"0,75","6,149889","12,005421","1,737579","0,76342","0,474621","2,762788","1,35919","0,431352","0,293887","0,164118","17,344364","10,030457","2,51441","0,730509","0,392531","9,189764","3,517214","3,551506","1,089059","0,440452","5,116872","12,812086","1,274579","1,165125","0,414012"
1,"0,875","7,125069","11,587578","1,526439","0,860458","0,438369","2,761499","1,141054","0,367907","0,273567","0,152006","17,866762","9,221149","2,857082","0,78258","0,366991","10,597005","3,557012","3,665976","1,006839","0,439069","5,59277","12,335903","1,260383","1,104923","0,413319"
1,1,"7,708785","10,623396","1,47526","0,943361","0,396017","2,696397","1,044992","0,363423","0,251606","0,142874","17,067307","8,290189","2,917814","0,823141","0,348091","12,282235","3,679049","3,907138","0,887192","0,447255","6,08739","11,241711","1,442695","1,059464","0,404099"
1,"1,125","7,868517","9,297879","1,565595","0,997592","0,353637","2,544323","1,068829","0,39575","0,225907","0,135489","15,109433","7,486128","2,683935","0,842089","0,34011","13,684842","3,985124","4,061462","0,764656","0,465993","6,487702","9,791337","1,675102","1,03408","0,391103"
1,"1,25","7,826515","8,181344","1,771761","1,015201","0,315192","2,269908","1,175403","0,428873","0,20086","0,12806","12,357003","7,015363","2,233693","0,835447","0,341086","14,382438","4,650883","3,934305","0,663163","0,491913","7,019285","8,571759","1,817601","1,025351","0,382318"
1,"1,375","7,942613","7,950799","2,055723","1,001049","0,283885","1,922707","1,322251","0,438756","0,185624","0,119835","9,52397","7,0711","1,736906","0,813419","0,345681","14,12438","5,762016","3,464823","0,598229","0,520211","7,735715","8,16583","1,801627","1,032972","0,384461"
1,"1,5","8,484638","8,942631","2,393499","0,975216","0,263812","1,601007","1,482661","0,424245","0,188777","0,112259","7,244927","7,685931","1,360953","0,794336","0,348364","12,971844","7,238758","2,788508","0,57993","0,547625","8,675351","8,805953","1,674841","1,063582","0,398301"
1,"1,625","9,370599","10,828362","2,684616","0,963188","0,26015","1,456334","1,638405","0,397894","0,214862","0,109132","5,82921","8,655059","1,16737","0,792265","0,344925","11,327885","8,747112","2,120704","0,611287","0,571654","9,563535","10,187333","1,507054","1,114912","0,420517"
1,"1,75","10,322598","12,816982","2,835777","0,97882","0,27437","1,585682","1,760412","0,382737","0,264459","0,115343","5,265996","9,596598","1,131869","0,807785","0,334081","9,662545","9,868575","1,701387","0,684295","0,588912","10,114342","11,678514","1,385167","1,164685","0,445712"
1,"1,875","10,744948","14,050184","2,777131","1,017281","0,302834","1,934435","1,82392","0,391242","0,334861","0,135257","5,205167","10,146963","1,218504","0,83131","0,319651","8,240346","10,322027","1,58622","0,781813","0,598629","9,972987","12,608237","1,334655","1,183007","0,469978"
1,2,"10,517899","14,067191","2,463444","1,064993","0,338969","2,356542","1,817107","0,43148","0,4179","0,169082","5,105445","10,195105","1,399306","0,850906","0,3088","7,19413","10,008039","1,674112","0,8816","0,602699","9,135424","12,654226","1,294457","1,151193","0,491591"
1,"2,125","9,587527","13,031969","1,959759","1,113043","0,375662","2,687903","1,748471","0,504276","0,500682","0,21231","4,630284","9,843539","1,644584","0,858919","0,306612","6,543249","9,089944","1,789796","0,95857","0,603192","7,913279","11,977107","1,211963","1,074627","0,509079"
1,"2,25","8,234571","11,453771","1,406439","1,163894","0,406016","2,840874","1,652804","0,601181","0,56733","0,256036","3,848095","9,306881","1,887677","0,850244","0,313133","6,212281","7,849861","1,790001","0,989682","0,599072","6,736723","10,93289","1,065764","0,984079","0,517464"
1,"2,375","6,802766","9,885258","0,954307","1,224669","0,423781","2,80684","1,573227","0,696173","0,605196","0,291236","2,97366","8,66048","2,059422","0,824417","0,324234","6,166304","6,615765","1,630345","0,965477","0,587611","5,977032","9,852745","0,886874","0,917838","0,50961"
1,"2,5","5,667722","8,591065","0,679506","1,300643","0,42803","2,62665","1,519113","0,756792","0,6087","0,311878","2,260738","7,874262","2,12057","0,790249","0,336816","6,246709","5,569033","1,37509","0,893531","0,567311","5,680727","8,856291","0,726366","0,906019","0,482477"
1,"2,625","4,972908","7,513376","0,578364","1,380679","0,422326","2,360966","1,471146","0,761346","0,578533","0,316633","1,971057","7,00969","2,086285","0,755495","0,349425","6,21385","4,783767","1,127083","0,795408","0,537703","5,636878","7,856782","0,610626","0,957574","0,438635"
1,"2,75","4,776279","6,428759","0,652747","1,444655","0,412188","2,066262","1,390173","0,717357","0,524514","0,307994","2,226438","6,31817","1,988371","0,730669","0,361629","5,888625","4,15414","0,983043","0,698072","0,502079","5,567366","6,68306","0,569773","1,060717","0,385005"
1,"2,875","4,889373","5,20244","0,928507","1,470083","0,404164","1,760737","1,250069","0,657572","0,459012","0,290238","2,95741","6,173835","1,858014","0,728211","0,374344","5,175369","3,5664","0,978828","0,622957","0,4694","5,212256","5,312212","0,636821","1,186143","0,330188"
1,3,"5,12619","3,980328","1,449943","1,444041","0,405048","1,473562","1,078278","0,637872","0,392932","0,26761","4,005318","6,798743","1,7187","0,755337","0,388716","4,333346","3,018875","1,094429","0,580103","0,451358","4,612129","4,062408","0,867094","1,297038","0,283174"
1,"3,125","5,642017","3,134549","2,220205","1,372685","0,41975","1,253893","0,956554","0,723982","0,33332","0,243343","5,105636","8,017051","1,578646","0,815484","0,404296","3,630026","2,721273","1,302433","0,565711","0,454041","4,535413","3,544186","1,358951","1,369121","0,249824"
1,"3,25","6,745009","2,978971","3,203804","1,280493","0,450681","1,174292","0,95824","0,960794","0,284385","0,221133","5,906829","9,295345","1,443365","0,908671","0,41912","3,498907","2,904288","1,571375","0,567503","0,472663","5,772264","4,25659","2,203518","1,399067","0,230571"
1,"3,375","8,731284","3,658391","4,264386","1,194473","0,495855","1,251112","1,098004","1,32451","0,246737","0,204228","6,148952","10,131539","1,307567","1,024671","0,430098","4,025911","3,681198","1,884353","0,573905","0,494521","8,778687","6,329853","3,353267","1,397354","0,222977"
1,"3,5","11,307011","5,091338","5,178709","1,130638","0,552376","1,447301","1,344617","1,715049","0,224845","0,194414","5,722526","10,240295","1,191315","1,149705","0,43351","5,116742","4,95827","2,228378","0,584962","0,505824","12,987555","9,364729","4,58279","1,383541","0,229576"
1,"3,625","13,943369","7,117727","5,677558","1,086927","0,618348","1,672861","1,627767","1,994015","0,226659","0,191348","4,809589","9,68121","1,158614","1,264315","0,427179","6,38959","6,42738","2,514345","0,610679","0,49974","17,219494","12,678055","5,51104","1,368072","0,261719"
1,"3,75","16,00453","9,52818","5,533428","1,04507","0,690259","1,821889","1,864215","2,037659","0,256546","0,19267","3,854213","8,836208","1,281997","1,349164","0,41073","7,42116","7,667785","2,622411","0,663441","0,477709","20,065479","15,443695","5,763587","1,345813","0,330398"
